Date,Inflation
1995-01-31,0.37218895964413
1995-02-28,1.13629082069731
1995-03-31,1.37202008279658
1995-04-30,0.984568368501361
1995-05-31,0.834709379667257
1995-06-30,0.80871399675041
1995-07-31,0.570153653149095
1995-08-31,1.03777966756928
1995-09-30,0.391477525371082
1995-10-31,0.509066848574622
1995-11-30,1.24306308112158
1995-12-31,0.524231560414627
1996-01-31,1.24252929215258
1996-02-29,1.53377089327565
1996-03-31,1.38016008068806
1996-04-30,0.871250415785672
1996-05-31,0.727497482161767
1996-06-30,0.465475843861846
1996-07-31,1.3740002357244
1996-08-31,0.924343150960851
1996-09-30,0.324125026606232
1996-10-31,0.73455444018433
1996-11-30,0.467974670962691
1996-12-31,1.20555598840566
1997-01-31,0.481117808526294
1997-02-28,0.0889326527140429
1997-03-31,1.27402137010558
1997-04-30,0.387249189499862
1997-05-31,0.755114874369127
1997-06-30,1.08618552666057
1997-07-31,0.828705778113957
1997-08-31,0.226747108337744
1997-09-30,0.292477474548417
1997-10-31,0.15152129121305
1997-11-30,0.0776479507717348
1997-12-31,0.637988512227144
1998-01-31,0.906308625080416
1998-02-28,1.2345973404546
1998-03-31,1.31883834272452
1998-04-30,0.611108966736479
1998-05-31,0.593463046071857
1998-06-30,0.530383115493562
1998-07-31,0.628066197414205
1998-08-31,0.264439114904386
1998-09-30,-0.537979681583654
1998-10-31,-0.334866805125127
1998-11-30,0.0304124107578572
1998-12-31,0.620053194065186
1999-01-31,0.0140197774558612
1999-02-28,0.314952668203413
1999-03-31,0.612096117102903
1999-04-30,0.589683280905897
1999-05-31,0.47116932199969
1999-06-30,0.179608882976976
1999-07-31,0.26323532837242
1999-08-31,0.17110172517886
1999-09-30,0.459977143302169
1999-10-31,-0.120769165978816
1999-11-30,0.277376967580518
1999-12-31,0.434504667066089
2000-01-31,0.0693050238804463
2000-02-29,0.480129721708806
2000-03-31,0.541257555051251
2000-04-30,0.511596493912442
2000-05-31,0.0167610619695399
2000-06-30,0.0642858193216525
2000-07-31,0.516321695554497
2000-08-31,0.468062459912847
2000-09-30,0.556060943387338
2000-10-31,0.232666781905678
