Date,GDP
2003-09-30,73.8678353680876
2003-10-31,77.5989135108107
2003-11-30,75.5725386288336
2003-12-31,78.0097324133558
2004-01-31,75.9132669251778
2004-02-29,74.0974359154403
2004-03-31,78.6354629791467
2004-04-30,84.0944721319617
2004-05-31,86.5105702285255
2004-06-30,83.2874590103565
2004-07-31,82.1067513163865
2004-08-31,77.5146229152149
2004-09-30,77.4025938277684
2004-10-31,79.6324551624725
2004-11-30,82.7195635167179
2004-12-31,85.6503020745209
2005-01-31,79.9791610934839
2005-02-28,80.1344599066734
2005-03-31,81.3964129865707
2005-04-30,87.0734470255749
2005-05-31,92.1414551036507
2005-06-30,88.4557729993011
2005-07-31,87.2766006292957
2005-08-31,82.9894831129746
2005-09-30,82.0878665294671
2005-10-31,84.8027239326644
2005-11-30,90.4951176179881
2005-12-31,91.5459266918293
2006-01-31,85.6590424919578
2006-02-28,84.6285220854951
2006-03-31,91.228692840068
2006-04-30,91.7780023638019
2006-05-31,97.7619063414799
2006-06-30,95.072899809632
2006-07-31,92.9616001230902
2006-08-31,91.5547627296281
2006-09-30,88.769329600051
2006-10-31,92.1822066698178
2006-11-30,94.7874212319493
2006-12-31,99.4183587606666
2007-01-31,89.9525619891584
2007-02-28,88.6681022105583
2007-03-31,96.7214346263446
2007-04-30,96.6364193147801
2007-05-31,104.746678845017
2007-06-30,101.254568601752
2007-07-31,102.545139242961
2007-08-31,100.128668441286
2007-09-30,100.240420653565
2007-10-31,103.151330807994
2007-11-30,104.09969689671
2007-12-31,111.854978369874
2008-01-31,98.5124657536872
2008-02-29,100.676634145885
2008-03-31,104.088023197252
2008-04-30,110.247082044334
2008-05-31,112.085329362857
2008-06-30,112.179938878858
2008-07-31,112.301116383525
2008-08-31,108.889993837837
2008-09-30,110.740740648058
2008-10-31,111.655298051566
2008-11-30,110.667091240658
2008-12-31,117.475106241632
2009-01-31,102.957851981423
2009-02-28,101.03370671238
2009-03-31,107.152725896403
2009-04-30,108.852131263434
2009-05-31,114.233023556979
2009-06-30,108.973271232089
2009-07-31,110.739303018833
2009-08-31,109.854091268809
2009-09-30,111.00471639979
2009-10-31,113.066652069327
2009-11-30,113.616689761738
2009-12-31,122.38467369331
2010-01-31,106.149276387258
2010-02-28,106.181815679423
2010-03-31,115.871466688352
2010-04-30,117.530089179309
2010-05-31,122.84054139441
2010-06-30,122.952124694629
2010-07-31,121.715583387811
2010-08-31,119.43656195162
2010-09-30,122.177647930979
2010-10-31,123.72453697766
2010-11-30,123.654532316943
2010-12-31,131.945489530476
2011-01-31,116.302741541174
2011-02-28,114.737766544787
2011-03-31,124.776562514662
2011-04-30,126.25744448581
2011-05-31,129.648241281491
2011-06-30,126.617366035537
2011-07-31,129.097719374522
2011-08-31,127.177016700388
2011-09-30,128.170148235962
2011-10-31,129.23834053294
2011-11-30,129.518543102295
2011-12-31,143.381082669266
2012-01-31,122.643043282476
2012-02-29,122.831990691078
2012-03-31,132.084617429847
2012-04-30,130.294040845443
2012-05-31,138.616161129596
2012-06-30,136.159646911252
2012-07-31,138.46068321796
2012-08-31,136.158276846841
2012-09-30,136.815840196687
2012-10-31,138.823100912428
2012-11-30,137.36970656224
2012-12-31,148.291937606082
2013-01-31,130.559992685857
2013-02-28,129.079383033107
2013-03-31,136.716103261567
2013-04-30,141.786854263316
2013-05-31,144.525170085063
2013-06-30,144.131522429327
2013-07-31,145.815158918084
2013-08-31,143.654379670487
2013-09-30,143.469503554971
2013-10-31,147.44202969723
2013-11-30,147.373533984173
2013-12-31,158.721291667986
2014-01-31,136.079802233256
2014-02-28,135.801560872472
2014-03-31,144.114837672392
2014-04-30,145.93095375877
2014-05-31,148.268520111495
2014-06-30,144.676064849711
2014-07-31,147.929033166191
2014-08-31,145.598328396295
2014-09-30,147.304981967072
2014-10-31,150.794566036781
2014-11-30,147.606279774666
2014-12-31,159.982899480685
2015-01-31,138.204498202026
2015-02-28,137.477202190862
2015-03-31,148.34699289631
2015-04-30,152.057063495299
2015-05-31,150.170961516218
2015-06-30,150.586503927201
2015-07-31,153.258350980469
2015-08-31,149.484690625058
2015-09-30,152.000860825852
2015-10-31,155.730682873871
2015-11-30,153.424811928952
2015-12-31,170.392438282989
2016-01-31,143.098357202023
2016-02-29,146.309196635533
2016-03-31,153.61243192688
2016-04-30,156.263690478061
2016-05-31,157.48954903612
2016-06-30,155.975301304685
2016-07-31,158.745901849584
2016-08-31,158.115555861394
2016-09-30,158.854564848149
2016-10-31,159.126757232709
2016-11-30,158.822599181097
2016-12-31,176.321093387719
2017-01-31,150.276432717465
2017-02-28,147.461285670951
2017-03-31,155.400167035249
2017-04-30,156.751508478455
2017-05-31,163.251277944792
