"","PN00237MM"
"","Liquidez del sistema bancario (fin de periodo) - Liquidez en Soles (millones S/)"
Abr17,164975.73111821
May17,167165.6585383
Jun17,168565.03464669
Jul17,170004.54398893
Ago17,172548.32597103
Sep17,178422.72167441
Oct17,179655.10839983
Nov17,182051.12532612
Dic17,186976.59715848
Ene18,189130.82683392
Feb18,189109.77071356
Mar18,187291.85616273
Abr18,185719.89963319
May18,185512.83020938
Jun18,186875.15902027
Jul18,190384.77519047
Ago18,192957.29256157
Sep18,193052.5490081
Oct18,193787.1218886
Nov18,197561.81042896
Dic18,203589.18559941
Ene19,203336.26316985
Feb19,202959.53838262
Mar19,204963.11443983
Abr19,203230.38726196
May19,204344.6075451
Jun19,204791.36121697
Jul19,209608.99578673
Ago19,212515.43390091
Sep19,211325.44038695
Oct19,213148.9722517
Nov19,217980.97619599
Dic19,222036.18253434
Ene20,227547.64079974
Feb20,227972.03308043
Mar20,231591.78971623
Abr20,242421.86970286
May20,267592.58110182
Jun20,274871.70584071
Jul20,287657.3884784
Ago20,289910.87030155
Sep20,290207.527205
Oct20,291443.97353667
Nov20,293143.83996513
Dic20,305702.19982496
Ene21,307419.26299981
Feb21,307142.155066
Mar21,305587.85784501
Abr21,295767.43911597
May21,290939.58170511
Jun21,291870.84002574
Jul21,302497.90545195
Ago21,300167.7991951
Sep21,297665.62107748
Oct21,291476.11937561
Nov21,289275.34584353
Dic21,293482.79355155
Ene22,290139.8836515
Feb22,285817.69303332
Mar22,284792.74524273
Abr22,281294.70551259
May22,279557.49906568
Jun22,278840.24389636
Jul22,287363.89333111
Ago22,290002.31366301
Sep22,295831.4960857
Oct22,292817.61735555
Nov22,288445.39617944
Dic22,294681.92939414
Ene23,296594.92527463
Feb23,293472.62852338
Mar23,290325.2049135
Abr23,285295.47277182
May23,284980.89691456
Jun23,285160.15178922
Jul23,290956.28947337
Ago23,290521.6124739
Sep23,290677.90748628
Oct23,290183.26323174
Nov23,293352.90056198
Dic23,302237.05940572
Ene24,302559.06707648
Feb24,301723.20209681
Mar24,302285.81117138
Abr24,300436.02556459
May24,307307.01321256
Jun24,318850.27126668
Jul24,326131.68772824
Ago24,332608.90363454
Sep24,334036.69855636
Oct24,337894.69501884
Nov24,336801.52351663
Dic24,344028.26259912
Ene25,342729.06038258
Feb25,340710.20723183
Mar25,339138.68201438
Abr25,334153.82934124
May25,344519.01481653
Jun25,340255.79743764
Jul25,350198.51386562
Ago25,350189.56875089
Sep25,350518.55232705
Oct25,353785.25244379
Nov25,364391.37201986
Dic25,383367.07528122
